#Release 13.3 - par O.76xd (lin64)
#Copyright (c) 1995-2011 Xilinx, Inc.  All rights reserved.

#Fri Nov  4 11:46:32 2011

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       syn_tdc.ncd
#OUTPUT FILE:      par_tdc_pad.csv
#PART TYPE:        xc6slx45t
#SPEED GRADE:      -3
#PACKAGE:          fgg484
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
N20,rst_n_a_i,IOB,IO_L45P_A1_M1LDQS_1,INPUT,LVCMOS18,1,,,,NONE,,LOCATED,NO,NONE,
N21,,,GND,,,,,,,,,,,,
N22,,IOBS,IO_L45N_A0_M1LDQSN_1,UNUSED,,1,,,,,,,,,
P1,,IOBS,IO_L38N_M3DQ3_3,UNUSED,,3,,,,,,,,,
P2,,IOBM,IO_L38P_M3DQ2_3,UNUSED,,3,,,,,,,,,
P3,,IOBM,IO_L42P_GCLK25_TRDY2_M3UDM_3,UNUSED,,3,,,,,,,,,
P4,,IOBS,IO_L9N_3,UNUSED,,3,,,,,,,,,
P5,,IOBM,IO_L9P_3,UNUSED,,3,,,,,,,,,
P6,,IOBM,IO_L25P_3,UNUSED,,3,,,,,,,,,
P7,,IOBS,IO_L25N_3,UNUSED,,3,,,,,,,,,
P8,,IOBS,IO_L1N_VREF_3,UNUSED,,3,,,,,,,,,
P9,,,VCCINT,,,,,,,,1.2,,,,
P10,,,GND,,,,,,,,,,,,
P11,,,VCCINT,,,,,,,,1.2,,,,
P12,,,GND,,,,,,,,,,,,
P13,,,VCCINT,,,,,,,,1.2,,,,
P14,,,GND,,,,,,,,,,,,
P15,,,NC,,,,,,,,,,,,
P16,l2p_data_o(0),IOB,IO_L60N_1,OUTPUT,SSTL18_I,1,,,,,,LOCATED,NO,NONE,
P17,,IOBM,IO_L71P_1,UNUSED,,1,,,,,,,,,
P18,l2p_data_o(2),IOB,IO_L71N_1,OUTPUT,SSTL18_I,1,,,,,,LOCATED,NO,NONE,
P19,p_rd_d_rdy_i(1),IOB,IO_L53P_1,INPUT,SSTL18_I,1,,,,NONE,,LOCATED,YES,NONE,
P20,,IOBM,IO_L42P_GCLK7_M1UDM_1,UNUSED,,1,,,,,,,,,
P21,l2p_data_o(1),IOB,IO_L46P_FCS_B_M1DQ2_1,OUTPUT,SSTL18_I,1,,,,,,LOCATED,NO,NONE,
P22,l2p_data_o(8),IOB,IO_L46N_FOE_B_M1DQ3_1,OUTPUT,SSTL18_I,1,,,,,,LOCATED,NO,NONE,
R1,,IOBS,IO_L37N_M3DQ1_3,UNUSED,,3,,,,,,,,,
R2,,,VCCO_3,,,3,,,,,any******,,,,
R3,,IOBM,IO_L37P_M3DQ0_3,UNUSED,,3,,,,,,,,,
R4,,IOBS,IO_L26N_3,UNUSED,,3,,,,,,,,,
R5,,,GND,,,,,,,,,,,,
R6,,,VCCAUX,,,,,,,,2.5,,,,
R7,,IOBM,IO_L1P_3,UNUSED,,3,,,,,,,,,
R8,data_bus_io(11),IOB,IO_L59N_2,BIDIR,LVCMOS25*,2,12,SLOW,,NONE,,LOCATED,NO,NONE,
R9,data_bus_io(10),IOB,IO_L59P_2,BIDIR,LVCMOS25*,2,12,SLOW,,NONE,,LOCATED,NO,NONE,
R10,,,VCCAUX,,,,,,,,2.5,,,,
R11,ef2_i,IOB,IO_L22P_2,INPUT,LVCMOS25*,2,,,,NONE,,LOCATED,YES,NONE,
R12,,,VCCAUX,,,,,,,,2.5,,,,
R13,,IOBM,IO_L12P_D1_MISO2_2,UNUSED,,2,,,,,,,,,
R14,,,VCCINT,,,,,,,,1.2,,,,
R15,,IOBM,IO_L70P_1,UNUSED,,1,,,,,,,,,
R16,,IOBS,IO_L70N_1,UNUSED,,1,,,,,,,,,
R17,,IOBM,IO_L72P_1,UNUSED,,1,,,,,,,,,
R18,,,GND,,,,,,,,,,,,
R19,,IOBS,IO_L53N_VREF_1,VREF Required,,1,,,,,0.90,,,,
R20,l_wr_rdy_i(0),IOB,IO_L47P_FWE_B_M1DQ0_1,INPUT,SSTL18_I,1,,,,NONE,,LOCATED,YES,NONE,
R21,,,VCCO_1,,,1,,,,,1.80,,,,
R22,l2p_data_o(9),IOB,IO_L47N_LDC_M1DQ1_1,OUTPUT,SSTL18_I,1,,,,,,LOCATED,NO,NONE,
T1,,IOBS,IO_L36N_M3DQ9_3,UNUSED,,3,,,,,,,,,
T2,,IOBM,IO_L36P_M3DQ8_3,UNUSED,,3,,,,,,,,,
T3,,IOBM,IO_L26P_3,UNUSED,,3,,,,,,,,,
T4,,IOBS,IO_L24N_3,UNUSED,,3,,,,,,,,,
T5,,IOBS,IO_L7N_3,UNUSED,,3,,,,,,,,,
T6,,IOBM,IO_L7P_3,UNUSED,,3,,,,,,,,,
T7,,IOBM,IO_L64P_D8_2,UNUSED,,2,,,,,,,,,
T8,data_bus_io(4),IOB,IO_L57P_2,BIDIR,LVCMOS25*,2,12,SLOW,,NONE,,LOCATED,NO,NONE,
T9,,,VCCO_2,,,2,,,,,2.50,,,,
T10,data_bus_io(20),IOB,IO_L46P_2,BIDIR,LVCMOS25*,2,12,SLOW,,NONE,,LOCATED,NO,NONE,
T11,lf2_i,IOB,IO_L22N_2,INPUT,LVCMOS25*,2,,,,NONE,,LOCATED,YES,NONE,
T12,address_o(0),IOB,IO_L29P_GCLK3_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,LOCATED,NO,NONE,
T13,,,VCCO_2,,,2,,,,,2.50,,,,
T14,cs_n_o,IOB,IO_L12N_D2_MISO3_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,LOCATED,YES,NONE,
T15,start_dis_o,IOB,IO_L23P_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,LOCATED,NO,NONE,
T16,,,NC,,,,,,,,,,,,
T17,,IOBS,IO_L72N_1,UNUSED,,1,,,,,,,,,
T18,l2p_valid_o,IOB,IO_L73N_1,OUTPUT,SSTL18_I,1,,,,,,LOCATED,NO,NONE,
T19,l2p_data_o(11),IOB,IO_L73P_1,OUTPUT,SSTL18_I,1,,,,,,LOCATED,NO,NONE,
T20,l2p_data_o(3),IOB,IO_L59N_1,OUTPUT,SSTL18_I,1,,,,,,LOCATED,NO,NONE,
T21,l2p_data_o(10),IOB,IO_L48P_HDC_M1DQ8_1,OUTPUT,SSTL18_I,1,,,,,,LOCATED,NO,NONE,
T22,l_wr_rdy_i(1),IOB,IO_L48N_M1DQ9_1,INPUT,SSTL18_I,1,,,,NONE,,LOCATED,YES,NONE,
U1,,IOBS,IO_L35N_M3DQ11_3,UNUSED,,3,,,,,,,,,
U2,,,GND,,,,,,,,,,,,
U3,,IOBM,IO_L35P_M3DQ10_3,UNUSED,,3,,,,,,,,,
U4,,IOBM,IO_L24P_3,UNUSED,,3,,,,,,,,,
U5,,,VCCO_3,,,3,,,,,any******,,,,
U6,,IOBS,IO_L64N_D9_2,UNUSED,,2,,,,,,,,,
U7,,,GND,,,,,,,,,,,,
U8,data_bus_io(6),IOB,IO_L57N_2,BIDIR,LVCMOS25*,2,12,SLOW,,NONE,,LOCATED,NO,NONE,
U9,data_bus_io(14),IOB,IO_L50P_2,BIDIR,LVCMOS25*,2,12,SLOW,,NONE,,LOCATED,NO,NONE,
U10,data_bus_io(21),IOB,IO_L46N_2,BIDIR,LVCMOS25*,2,12,SLOW,,NONE,,LOCATED,NO,NONE,
U11,,,VCCAUX,,,,,,,,2.5,,,,
U12,address_o(1),IOB,IO_L29N_GCLK2_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,LOCATED,NO,NONE,
U13,,IOBS,IO_L16N_VREF_2,UNUSED,,2,,,,,,,,,
U14,,IOBM,IO_L16P_2,UNUSED,,2,,,,,,,,,
U15,stop_dis_o,IOB,IO_L23N_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,LOCATED,NO,NONE,
U16,irq_p_o,IOB,IO_L4P_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,LOCATED,NO,NONE,
U17,,,NC,,,,,,,,,,,,
U18,,,VCCO_1,,,1,,,,,1.80,,,,
U19,l2p_rdy_i,IOB,IO_L59P_1,INPUT,SSTL18_I,1,,,,NONE,,LOCATED,YES,NONE,
U20,l2p_edb_o,IOB,IO_L49P_M1DQ10_1,OUTPUT,SSTL18_I,1,,,,,,LOCATED,YES,NONE,
U21,,,GND,,,,,,,,,,,,
U22,l2p_dframe_o,IOB,IO_L49N_M1DQ11_1,OUTPUT,SSTL18_I,1,,,,,,LOCATED,NO,NONE,
V1,,IOBS,IO_L34N_M3UDQSN_3,UNUSED,,3,,,,,,,,,
V2,,IOBM,IO_L34P_M3UDQS_3,UNUSED,,3,,,,,,,,,
V3,,IOBS,IO_L8N_3,UNUSED,,3,,,,,,,,,
V4,,,GND,,,,,,,,,,,,
V5,,IOBM,IO_L8P_3,UNUSED,,3,,,,,,,,,
V6,,,VCCAUX,,,,,,,,2.5,,,,
V7,data_bus_io(2),IOB,IO_L58P_2,BIDIR,LVCMOS25*,2,12,SLOW,,NONE,,LOCATED,NO,NONE,
V8,,,VCCO_2,,,2,,,,,2.50,,,,
V9,data_bus_io(15),IOB,IO_L50N_2,BIDIR,LVCMOS25*,2,12,SLOW,,NONE,,LOCATED,NO,NONE,
V10,,,GND,,,,,,,,,,,,
V11,err_flag_i,IOB,IO_L42P_2,INPUT,LVCMOS25*,2,,,,NONE,,LOCATED,NO,NONE,
V12,,,VCCO_2,,,2,,,,,2.50,,,,
V13,oe_n_o,IOB,IO_L18P_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,LOCATED,NO,NONE,
V14,,,GND,,,,,,,,,,,,
V15,,IOBS,IO_L4N_VREF_2,UNUSED,,2,,,,,,,,,
V16,,,VCCO_2,,,2,,,,,2.50,,,,
V17,tdc_led_trig5_o,IOB,IO_L2P_CMPCLK_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,LOCATED,YES,NONE,
V18,,,CMPCS_B_2,,,,,,,,,,,,
V19,l2p_data_o(5),IOB,IO_L74P_AWAKE_1,OUTPUT,SSTL18_I,1,,,,,,LOCATED,NO,NONE,
V20,l2p_data_o(13),IOB,IO_L74N_DOUT_BUSY_1,OUTPUT,SSTL18_I,1,,,,,,LOCATED,NO,NONE,
V21,l2p_data_o(4),IOB,IO_L50P_M1UDQS_1,OUTPUT,SSTL18_I,1,,,,,,LOCATED,NO,NONE,
V22,l2p_data_o(12),IOB,IO_L50N_M1UDQSN_1,OUTPUT,SSTL18_I,1,,,,,,LOCATED,NO,NONE,
W1,,IOBS,IO_L33N_M3DQ13_3,UNUSED,,3,,,,,,,,,
W2,,,VCCO_3,,,3,,,,,any******,,,,
W3,,IOBM,IO_L33P_M3DQ12_3,UNUSED,,3,,,,,,,,,
W4,,IOBM,IO_L2P_3,UNUSED,,3,,,,,,,,,
W5,,,VCCO_2,,,2,,,,,2.50,,,,
W6,data_bus_io(0),IOB,IO_L60P_2,BIDIR,LVCMOS25*,2,12,SLOW,,NONE,,LOCATED,NO,NONE,
W7,,,GND,,,,,,,,,,,,
W8,data_bus_io(3),IOB,IO_L58N_2,BIDIR,LVCMOS25*,2,12,SLOW,,NONE,,LOCATED,NO,NONE,
W9,,IOBM,IO_L48P_D7_2,UNUSED,,2,,,,,,,,,
W10,data_bus_io(22),IOB,IO_L44P_2,BIDIR,LVCMOS25*,2,12,SLOW,,NONE,,LOCATED,NO,NONE,
W11,int_flag_i,IOB,IO_L42N_2,INPUT,LVCMOS25*,2,,,,NONE,,LOCATED,YES,NONE,
W12,ef1_i,IOB,IO_L40P_2,INPUT,LVCMOS25*,2,,,,NONE,,LOCATED,YES,NONE,
W13,tdc_led_status_o,IOB,IO_L18N_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,LOCATED,YES,NONE,
W14,tdc_led_trig1_o,IOB,IO_L20P_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,LOCATED,YES,NONE,
W15,tdc_led_trig4_o,IOB,IO_L17N_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,LOCATED,YES,NONE,
W16,,,GND,,,,,,,,,,,,
W17,start_from_fpga_o,IOB,IO_L5P_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,LOCATED,YES,NONE,
W18,term_en_1_o,IOB,IO_L2N_CMPMOSI_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,LOCATED,YES,NONE,
W19,,,GND,,,,,,,,,,,,
W20,l2p_data_o(14),IOB,IO_L51P_M1DQ12_1,OUTPUT,SSTL18_I,1,,,,,,LOCATED,NO,NONE,
W21,,,VCCO_1,,,1,,,,,1.80,,,,
W22,l2p_data_o(6),IOB,IO_L51N_M1DQ13_1,OUTPUT,SSTL18_I,1,,,,,,LOCATED,NO,NONE,
Y1,,IOBS,IO_L32N_M3DQ15_3,UNUSED,,3,,,,,,,,,
Y2,,IOBM,IO_L32P_M3DQ14_3,UNUSED,,3,,,,,,,,,
Y3,,IOBS,IO_L2N_3,UNUSED,,3,,,,,,,,,
Y4,,IOBM,IO_L65P_INIT_B_2,UNUSED,,2,,,,,,,,,
Y5,data_bus_io(8),IOB,IO_L62P_D5_2,BIDIR,LVCMOS25*,2,12,SLOW,,NONE,,LOCATED,NO,NONE,
Y6,data_bus_io(1),IOB,IO_L60N_2,BIDIR,LVCMOS25*,2,12,SLOW,,NONE,,LOCATED,NO,NONE,
Y7,data_bus_io(16),IOB,IO_L47P_2,BIDIR,LVCMOS25*,2,12,SLOW,,NONE,,LOCATED,NO,NONE,
Y8,,IOBS,IO_L48N_RDWR_B_VREF_2,UNUSED,,2,,,,,,,,,
Y9,data_bus_io(24),IOB,IO_L43P_2,BIDIR,LVCMOS25*,2,12,SLOW,,NONE,,LOCATED,NO,NONE,
Y10,data_bus_io(23),IOB,IO_L44N_2,BIDIR,LVCMOS25*,2,12,SLOW,,NONE,,LOCATED,NO,NONE,
Y11,,IOBM,IO_L32P_GCLK29_2,UNUSED,,2,,,,,,,,,
Y12,lf1_i,IOB,IO_L40N_2,INPUT,LVCMOS25*,2,,,,NONE,,LOCATED,YES,NONE,
Y13,wr_n_o,IOB,IO_L30P_GCLK1_D13_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,LOCATED,YES,NONE,
Y14,tdc_led_trig2_o,IOB,IO_L20N_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,LOCATED,YES,NONE,
Y15,address_o(2),IOB,IO_L21P_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,LOCATED,NO,NONE,
Y16,tdc_led_trig3_o,IOB,IO_L17P_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,LOCATED,YES,NONE,
Y17,pll_cs_o,IOB,IO_L15P_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,LOCATED,NO,NONE,
Y18,pll_status_i,IOB,IO_L5N_2,INPUT,LVCMOS25*,2,,,,NONE,,LOCATED,NO,NONE,
Y19,,IOBM,IO_L13P_M1_2,UNUSED,,2,,,,,,,,,
Y20,,IOBM,IO_L1P_CCLK_2,UNUSED,,2,,,,,,,,,
Y21,l2p_data_o(15),IOB,IO_L52P_M1DQ14_1,OUTPUT,SSTL18_I,1,,,,,,LOCATED,NO,NONE,
Y22,l2p_data_o(7),IOB,IO_L52N_M1DQ15_1,OUTPUT,SSTL18_I,1,,,,,,LOCATED,NO,NONE,

# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
# 
#* Default value.
#** This default Pullup/Pulldown value can be overridden in Bitgen. 
#****** Special VCCO requirements may apply. Please consult the device 
#       family datasheet for specific guideline on VCCO requirements. 
#
#
#
